cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63846	0.01642	0.073411	5	0.11	3	10	1	0.9	0.7	1
0.63721	0.016169	0.075201	5	0.11	3	10	1	0.9	0.8	1
0.63596	0.017067	0.083257	12	0.11	3	10	1	1	1	1
0.63541	0.015038	0.083429	22	0.11	3	100	1	1	1	1
0.63524	0.017193	0.085781	16	0.1	3	10	1	1	1	1
0.63524	0.017193	0.085807	16	0.1	3	10	1	1	1	1
0.63505	0.019356	0.084222	10	0.12	3	1	1	1	1	1
0.63505	0.014506	0.075494	22	0.11	3	10	1	1	0.5	1
0.63488	0.018004	0.076877	15	0.1	3	100	1	1	1	1
0.63488	0.018004	0.076534	15	0.1	3	100	1	1	1	1
0.63471	0.016844	0.10434	53	0.03	3	10	1	1	1	1
0.6347	0.015162	0.072847	5	0.02	3	10	1	0.8	0.5	1
0.63452	0.017855	0.067595	6	0.11	3	10	1	0.6	0.6	1
0.63452	0.015735	0.072415	9	0.11	3	10	1	1	0.7	1
0.63449	0.017085	0.079618	19	0.11	3	10	1	0.6	0.8	1
0.63434	0.017549	0.11361	58	0.03	3	100	1	1	1	1
0.63417	0.020129	0.082888	11	0.12	3	10	1	1	1	1
0.63416	0.017083	0.087224	18	0.11	3	1	1	1	1	1
0.63416	0.016369	0.088567	21	0.08	3	10	1	1	1	1
0.63416	0.016371	0.06882	5	0.11	3	10	1	0.7	0.6	1
0.63398	0.017681	0.10409	46	0.03	3	1	1	1	1	1
0.63398	0.017865	0.085578	15	0.1	3	1	1	1	1	1
0.63398	0.017865	0.085378	15	0.1	3	1	1	1	1	1
0.6338	0.01533	0.090343	34	0.11	3	10	1	0.7	0.7	1
0.63362	0.017421	0.090487	21	0.08	3	1	1	1	1	1
0.63345	0.015656	0.068947	5	0.11	3	10	1	0.8	0.6	1
0.63344	0.016243	0.08077	23	0.08	3	100	1	1	1	1
0.63344	0.019028	0.072315	7	0.11	3	10	1	0.6	0.7	1
0.63326	0.016996	0.085307	16	0.09	3	10	1	1	1	1
0.63325	0.016087	0.08057	6	0.3	3	1	1	1	1	1
0.63325	0.015492	0.082122	11	0.12	3	100	1	1	1	1
0.63307	0.015233	0.14617	204	0.03	2	1	1	1	1	1
0.63307	0.016747	0.10505	17	0.1	5	100	1	1	1	1
