cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.6401	0.021108	0.18155	6	0.02	3	10	1	0.6	0.7	1
0.63955	0.020869	0.17228	6	0.02	3	10	1	0.6	0.6	1
0.63955	0.021362	0.1991	6	0.02	3	10	1	0.6	0.8	1
0.63865	0.017592	0.18736	3	0.02	3	10	1	0.7	0.7	1
0.6383	0.018994	0.17335	3	0.02	3	10	1	0.7	0.6	1
0.63829	0.019441	0.2747	8	0.2	3	10	1	1	1	1
0.63812	0.023601	0.15289	6	0.02	3	10	1	0.6	0.5	1
0.6374	0.015499	0.93415	135	0.02	6	10	1	1	1	1
0.6374	0.025402	0.16531	4	0.2	3	10	1	0.6	0.6	1
0.63738	0.016976	0.18519	3	0.2	3	10	1	0.7	0.7	1
0.63703	0.010505	0.61015	81	0.02	5	10	1	1	1	1
0.63667	0.017896	0.20127	3	0.2	3	10	1	0.9	0.7	1
0.63666	0.015949	0.20072	3	0.2	3	10	1	0.7	0.8	1
0.63664	0.018164	0.34858	7	0.02	6	10	1	0.6	0.8	1
0.63652	0.016986	0.27346	7	0.3	3	10	1	1	1	1
0.63652	0.016986	0.26908	7	0.3	3	10	1	1	1	1
0.63649	0.017994	0.18387	2	0.02	3	10	1	0.9	0.6	1
0.63632	0.01793	0.26174	3	0.06	3	10	1	1	1	1
0.63631	0.018489	0.72243	81	0.03	6	10	1	1	1	1
0.63631	0.011479	0.52539	47	0.05	5	10	1	1	1	1
0.63631	0.018489	0.71323	81	0.03	6	10	1	1	1	1
0.6363	0.019751	0.1941	2	0.02	3	10	1	0.8	0.7	1
0.63614	0.017644	0.26658	6	0.03	3	10	1	1	1	1
0.63614	0.017644	0.26613	6	0.03	3	10	1	1	1	1
0.63614	0.01845	0.26454	3	0.05	3	10	1	1	1	1
0.63614	0.017515	0.20348	7	0.2	3	10	1	0.6	0.8	1
0.63613	0.013716	0.61015	48	0.05	6	10	1	1	1	1
0.63613	0.016223	0.31317	133	0.02	3	10	1	0.9	0.5	1
0.63612	0.020962	0.15811	3	0.02	3	10	1	0.7	0.5	1
0.63595	0.015847	0.43692	140	0.03	3	1	1	1	1	1
0.63577	0.016424	0.37191	24	0.1	4	1	1	1	1	1
0.63575	0.013024	0.35922	45	0.02	6	10	1	0.6	0.6	1
0.63559	0.016759	0.22368	6	0.02	3	10	1	0.9	0.8	1
0.63558	0.018143	0.22193	6	0.03	3	100	1	1	1	1
0.63542	0.020461	0.26318	4	0.3	3	1	1	1	1	1
0.63541	0.017869	0.2225	41	0.02	3	10	1	0.8	0.6	1
0.63539	0.026473	0.15178	4	0.2	3	10	1	0.6	0.5	1
0.63523	0.017679	0.2045	43	0.02	3	10	1	0.8	0.5	1
0.63521	0.014431	0.83012	111	0.01	6	10	1	1	1	1
0.63506	0.017956	0.18055	1	0.2	3	10	1	0.9	0.6	1
0.63488	0.018516	0.29269	18	0.01	3	10	1	1	1	1
0.63488	0.018219	0.26976	7	0.02	3	10	1	1	1	1
0.63488	0.020254	0.263	4	0.04	3	10	1	1	1	1
0.63487	0.015685	0.59601	38	0.06	6	10	1	1	1	1
0.63487	0.018143	0.15605	3	0.2	3	10	1	0.7	0.5	1
0.63471	0.018579	0.17186	4	0.2	3	10	1	0.7	0.6	1
0.6347	0.020641	0.21954	6	0.02	3	10	1	0.8	0.8	1
0.63469	0.017944	0.2226	8	0.1	3	100	1	1	1	1
0.63469	0.010631	0.82009	153	0.01	5	10	1	1	1	1
