cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.6381	0.013711	0.45258	133	0.1	5	100	1	0.7	0.9	1
0.6381	0.013711	0.44577	133	0.1	5	100	1	0.7	0.9	1
0.63771	0.019633	0.32714	117	0.1	3	100	1	0.7	0.8	1
0.63745	0.018301	0.38866	248	0.1	2	100	1	0.7	0.8	1
0.63743	0.020995	0.34203	209	0.1	2	100	1	0.7	0.7	1
0.63737	0.013781	0.61536	239	0.1	6	100	1	0.7	0.9	1
0.63737	0.013781	0.62172	239	0.1	7	100	1	0.7	0.9	1
0.63737	0.013781	0.62601	239	0.1	6	100	1	0.7	0.9	1
0.63737	0.013781	0.62581	239	0.1	7	100	1	0.7	0.9	1
0.6369	0.018962	0.47205	217	0.1	4	100	1	0.7	0.7	1
0.63657	0.019629	0.34244	74	0.1	6	100	1	0.7	0.8	1
0.63657	0.019629	0.33817	74	0.1	7	100	1	0.7	0.8	1
0.63657	0.019629	0.33766	74	0.1	6	100	1	0.7	0.8	1
0.63657	0.019629	0.34431	74	0.1	7	100	1	0.7	0.8	1
0.63644	0.015949	0.32015	85	0.1	5	100	1	0.9	0.6	1
0.63635	0.021091	0.19557	78	0.2	2	100	1	0.7	0.5	1
0.63633	0.017042	0.32783	99	0.1	5	100	1	0.7	0.6	1
0.63618	0.021445	0.48262	175	0.1	5	100	1	0.7	0.8	1
0.63606	0.017009	0.4803	140	0.1	6	100	1	0.9	0.8	1
0.63606	0.017009	0.47633	140	0.1	6	100	1	0.9	0.8	1
0.63601	0.020077	0.37168	166	0.1	3	100	1	0.7	0.7	1
0.63594	0.017271	0.34689	99	0.1	6	100	1	0.7	0.6	1
0.63594	0.017271	0.35037	99	0.1	7	100	1	0.7	0.6	1
0.63594	0.017271	0.32808	99	0.1	6	100	1	0.7	0.6	1
0.63594	0.017271	0.33597	99	0.1	7	100	1	0.7	0.6	1
0.63594	0.017271	0.33016	99	0.1	6	100	1	0.7	0.6	1
0.63594	0.017271	0.3325	99	0.1	7	100	1	0.7	0.6	1
0.63591	0.019656	0.29796	201	0.1	2	100	1	0.7	0.5	1
0.63584	0.013724	0.55054	229	0.1	4	100	1	0.7	0.9	1
0.63579	0.015356	0.7059	659	0.03	2	100	1	0.9	0.6	1
0.6356	0.019458	0.52397	238	0.1	4	100	1	0.7	0.8	1
0.63537	0.019939	0.12962	27	0.6	1	100	1	0.7	0.6	1
0.63537	0.022101	0.17711	36	0.3	2	100	1	0.7	0.7	1
0.63536	0.015534	0.36149	206	0.1	2	100	1	0.6	0.8	1
0.63533	0.016175	0.23984	92	0.1	3	100	1	0.9	0.5	1
0.63532	0.0174	0.4255	108	0.1	5	100	1	0.8	0.9	1
