"TeamId","TeamName","RankPrivate","RankPublic","RankDelta","ScorePrivate","ScorePublic","ScoreDelta"
328944,"HugoSilveiradaCunha",1,7,6,0.92241,0.91523,0.00717999999999996
330696,"@mos",2,2,0,0.92098,0.92672,-0.00573999999999997
330136,"Elie",3,3,0,0.91523,0.92241,-0.00717999999999996
329775,"Keks",4,5,1,0.91379,0.92098,-0.00719000000000003
334168,"??(? ? ?)?",5,6,1,0.90948,0.91954,-0.0100600000000001
332491,"Komaxx",6,11,5,0.90517,0.90805,-0.00287999999999999
329100,"Ohm J. Patel",7,1,-6,0.9023,0.9454,-0.0431
329345,"Artur B",8,9,1,0.9023,0.91379,-0.01149
328883,"Stefan Hoglund",9,8,-1,0.90086,0.91523,-0.01437
328875,"ShedrickBridgeforth",10,10,0,0.89799,0.90948,-0.01149
331136,"Fon Fox",11,12,1,0.86063,0.87356,-0.01293
329487,"Wynnie",12,13,1,0.78161,0.76293,0.01868
329354,"chrislit",13,14,1,0.77443,0.75575,0.0186799999999999
334805,"RandXie",14,15,1,0.77011,0.74856,0.02155
329052,"A_Z_L",15,17,2,0.7658,0.73994,0.02586
328890,"PJBu",16,16,0,0.76437,0.74856,0.01581
330062,"William Chiu",17,19,2,0.74282,0.7227,0.02012
331030,"SergeyP",18,21,3,0.73994,0.71552,0.02442
329146,"KishoreKumar",19,24,5,0.73276,0.70977,0.02299
330617,"RahulMadhavan",20,22,2,0.72845,0.71552,0.01293
329333,"Ayush Singh",21,18,-3,0.72701,0.72701,0
329510,"Cristinaatx",22,25,3,0.71839,0.6796,0.03879
338657,"lzwhite",23,20,-3,0.7069,0.72126,-0.01436
329707,"bouillabaisse",24,23,-1,0.70115,0.71264,-0.01149
330213,"Fan Luo",25,688,663,0.66236,0.6408,0.0215599999999999
332136,"GabeIsman",26,409,383,0.66236,0.64655,0.01581
334615,"AndresPerez",27,1465,1438,0.66236,0.62931,0.0330499999999999
335053,"Rohan Sachdev",28,116,88,0.65948,0.65661,0.00286999999999993
333525,"SergioAntonio",29,296,267,0.65805,0.64943,0.00862000000000007
332643,"DagnyT",30,36,6,0.65805,0.66667,-0.00861999999999996
329135,"Caio Taniguchi",31,410,379,0.65805,0.64655,0.0115000000000001
328825,"RobertMiller",32,540,508,0.65661,0.64368,0.01293
334834,"Jin Guo",33,463,430,0.65661,0.64511,0.0115000000000001
329814,"inigojpuente",34,595,561,0.65517,0.64224,0.01293
335010,"Vinod Sundaram",35,689,654,0.65517,0.6408,0.01437
331009,"Sebastian",36,348,312,0.65517,0.64799,0.00718000000000008
335524,"GeethaGopakumar",37,2084,2047,0.65517,0.62069,0.0344800000000001
329951,"Bruno Sarlandie",38,199,161,0.65374,0.6523,0.00144
329311,"Bastol",39,297,258,0.65374,0.64943,0.00431000000000004
330700,"Rafael",40,349,309,0.65374,0.64799,0.00575000000000003
334617,"???? ???????",41,1466,1425,0.65374,0.62931,0.02443
329229,"dataanomaly",42,163,121,0.65374,0.65374,0
334715,"FRANCISCORODRIGUES",43,464,421,0.65374,0.64511,0.00863000000000003
332414,"Edward Tsai",44,58,14,0.65374,0.66236,-0.00861999999999996
329175,"Rituraj Singh",45,164,119,0.65374,0.65374,0
332015,"Saleha Siddique",46,1159,1113,0.65374,0.63362,0.02012
329637,"neto71",47,411,364,0.65374,0.64655,0.00719000000000003
329189,"Aris",48,1467,1419,0.6523,0.62931,0.02299
330477,"Don Honeycutt",49,350,301,0.6523,0.64799,0.00431000000000004
333507,"BBSchulte",50,165,115,0.6523,0.65374,-0.00144
332860,"ololo",51,200,149,0.6523,0.6523,0
329893,"Taha Khan",52,1253,1201,0.6523,0.63218,0.02012
332671,"Paul Kearney",53,596,543,0.6523,0.64224,0.01006
329552,"AkshayKumar",54,1254,1200,0.6523,0.63218,0.02012
336306,"Akshay Gaonkar",55,1069,1014,0.6523,0.63506,0.01724
328996,"Ram.",56,597,541,0.6523,0.64224,0.01006
333048,"Ron Luhtanen",57,351,294,0.6523,0.64799,0.00431000000000004
334628,"JuanMiguelBallesteros",58,117,59,0.6523,0.65661,-0.00431000000000004
329141,"Nigel_AR_Henry",59,871,812,0.65086,0.63793,0.01293
329132,"Soslan Tabuev",60,245,185,0.65086,0.65086,0
331156,"dslenders",61,1987,1926,0.65086,0.62356,0.0273
331664,"RMeads",62,201,139,0.65086,0.6523,-0.00144
329465,"Sizenova",63,2538,2475,0.65086,0.60632,0.04454
335383,"Dmitry Malugin",64,246,182,0.65086,0.65086,0
330526,"KiranIyer",65,412,347,0.65086,0.64655,0.00431000000000004
333163,"TiagoAndrade",66,598,532,0.65086,0.64224,0.00861999999999996
329883,"Sam K",67,1468,1401,0.65086,0.62931,0.02155
328937,"Jbullis ",68,1378,1310,0.64943,0.63075,0.0186799999999999
329020,"Buster Bluth",69,352,283,0.64943,0.64799,0.00144
329443,"dmi3kno",70,961,891,0.64943,0.63649,0.01294
329013,"RobEdX",71,138,67,0.64943,0.65517,-0.00574000000000008
329502,"kjsaeger",72,690,618,0.64943,0.6408,0.00862999999999992
332750,"subhadra.s",73,166,93,0.64943,0.65374,-0.00431000000000004
332132,"Jonny Lomond",74,777,703,0.64943,0.63937,0.01006
329958,"Ravijeet",75,413,338,0.64943,0.64655,0.00287999999999999
330535,"phatgme",76,47,-29,0.64943,0.66379,-0.01436
331525,"rathrave",77,599,522,0.64943,0.64224,0.00718999999999992
335143,"vivienxing",78,1830,1752,0.64943,0.62644,0.02299
335831,"KarlBaria",79,1379,1300,0.64943,0.63075,0.0186799999999999
329298,"RainerHoft",80,872,792,0.64943,0.63793,0.0115
328893,"BrianOakes",81,691,610,0.64943,0.6408,0.00862999999999992
338843,"kishore",82,95,13,0.64943,0.65805,-0.00862000000000007
338282,"ChidiyaChidiya",83,1160,1077,0.64943,0.63362,0.01581
338930,"SidP",84,962,878,0.64943,0.63649,0.01294
334549,"Steven Frank",85,600,515,0.64943,0.64224,0.00718999999999992
328833,"Arman",86,465,379,0.64799,0.64511,0.00287999999999999
329561,"Georgii Vyshnia",87,48,-39,0.64799,0.66379,-0.0158
332870,"Dozzy Dozzborn",88,601,513,0.64799,0.64224,0.00574999999999992
329982,"scarecrow",89,963,874,0.64799,0.63649,0.0115
332385,"hqhc16",90,167,77,0.64799,0.65374,-0.00575000000000003
328886,"hellerox",91,414,323,0.64799,0.64655,0.00144
332751,"RashmiManahalli",92,168,76,0.64799,0.65374,-0.00575000000000003
329014,"Stormvision",93,202,109,0.64799,0.6523,-0.00431000000000004
332515,"C_Havenstein",94,169,75,0.64799,0.65374,-0.00575000000000003
338192,"TheStatsGuy",95,2041,1946,0.64799,0.62213,0.02586
335301,"EguBreizh",96,59,-37,0.64799,0.66236,-0.01437
333315,"druken",97,602,505,0.64799,0.64224,0.00574999999999992
331893,"maurizio",98,778,680,0.64799,0.63937,0.00861999999999996
331730,"Jose",99,415,316,0.64799,0.64655,0.00144
333719,"Krones",100,603,503,0.64799,0.64224,0.00574999999999992
328918,"notiv",101,2042,1941,0.64799,0.62213,0.02586
328945,"roemeren",102,466,364,0.64655,0.64511,0.00144
330719,"Nico",103,416,313,0.64655,0.64655,0
329360,"JackLord",104,692,588,0.64655,0.6408,0.00574999999999992
328913,"Brenda",105,170,65,0.64655,0.65374,-0.00719000000000003
329755,"ShubhankarGupta",106,118,12,0.64655,0.65661,-0.0100600000000001
330106,"Bill",107,1831,1724,0.64655,0.62644,0.02011
330175,"swilsonmfc",108,353,245,0.64655,0.64799,-0.00144
332565,"ajmoffat",109,96,-13,0.64655,0.65805,-0.0115000000000001
329145,"Calvin N. Hobbes",110,467,357,0.64655,0.64511,0.00144
334974,"Aleksander Wawrzeniuk",111,1255,1144,0.64655,0.63218,0.01437
331821,"Marcel de Ruiter",112,2440,2328,0.64655,0.61494,0.0316099999999999
330320,"Jinwook Chang",113,417,304,0.64655,0.64655,0
336241,"YAUniqueAccountId",114,541,427,0.64655,0.64368,0.00286999999999993
330424,"Aaron Judell",115,964,849,0.64655,0.63649,0.01006
336021,"JiaweiGu",116,2441,2325,0.64655,0.61494,0.0316099999999999
336431,"mjkesling",117,1380,1263,0.64655,0.63075,0.0157999999999999
330113,"AnirbanBiswas",118,779,661,0.64655,0.63937,0.00717999999999996
332940,"Nader Henein",119,298,179,0.64655,0.64943,-0.00287999999999999
331902,"aaronbutleryeats",120,1161,1041,0.64655,0.63362,0.01293
330474,"jorditpuig",121,354,233,0.64655,0.64799,-0.00144
338556,"EugeneHlyzov",122,1162,1040,0.64655,0.63362,0.01293
330205,"JoonhoPark",123,247,124,0.64655,0.65086,-0.00431000000000004
337862,"robertmaria",124,965,841,0.64655,0.63649,0.01006
339607,"avk2016",125,693,568,0.64655,0.6408,0.00574999999999992
333334,"infactum",126,780,654,0.64655,0.63937,0.00717999999999996
329542,"Rich He",127,139,12,0.64655,0.65517,-0.00862000000000007
329439,"Andre Naef",128,468,340,0.64511,0.64511,0
329813,"Michaël",129,966,837,0.64511,0.63649,0.00861999999999996
330625,"Kate",130,1758,1628,0.64511,0.62787,0.0172399999999999
329079,"Murali",131,604,473,0.64511,0.64224,0.00286999999999993
332418,"xlim06",132,2085,1953,0.64511,0.62069,0.02442
328881,"Michael Read",133,97,-36,0.64511,0.65805,-0.0129400000000001
330022,"Saul Garcia",134,248,114,0.64511,0.65086,-0.00575000000000003
334583,"Boris Mangal",135,469,334,0.64511,0.64511,0
330593,"AnkitaMehta",136,1911,1775,0.64511,0.625,0.02011
331195,"Frédéric Crespo",137,873,736,0.64511,0.63793,0.00717999999999996
335076,"kingsbury77",138,1832,1694,0.64511,0.62644,0.01867
335345,"VeryFatBoy",139,694,555,0.64511,0.6408,0.00430999999999993
334705,"DCYN",140,60,-80,0.64511,0.66236,-0.01725
332113,"JoeBenbow",141,1163,1022,0.64511,0.63362,0.01149
337344,"PetteriMoilanen",142,1256,1114,0.64511,0.63218,0.01293
338246,"Ilya",143,2043,1900,0.64511,0.62213,0.02298
332218,"Pedro Ferro",144,299,155,0.64511,0.64943,-0.00431999999999999
329357,"Drendar",145,874,729,0.64511,0.63793,0.00717999999999996
329451,"Dmitry Olyanich",146,605,459,0.64511,0.64224,0.00286999999999993
328775,"rehband",147,203,56,0.64511,0.6523,-0.00719000000000003
331473,"bcadddd",148,2044,1896,0.64511,0.62213,0.02298
336303,"Valery Kharitonov",149,300,151,0.64511,0.64943,-0.00431999999999999
329956,"jariak",150,606,456,0.64511,0.64224,0.00286999999999993
331777,"Big.O",151,607,456,0.64511,0.64224,0.00286999999999993
337057,"NormanYan",152,781,629,0.64511,0.63937,0.00573999999999997
335421,"jpreardon",153,470,317,0.64511,0.64511,0
338293,"AnandAgrawal",154,782,628,0.64511,0.63937,0.00573999999999997
332079,"Fernando Flores",155,542,387,0.64511,0.64368,0.00142999999999993
337229,"CPirker",156,471,315,0.64511,0.64511,0
331198,"Roman",157,119,-38,0.64511,0.65661,-0.0115000000000001
329696,"Camille",158,140,-18,0.64368,0.65517,-0.01149
