"USER_ID"	"xgboost_preProcess8_1802"	"xgboost_preProcess8_1430"	"xgboost_preProcess8_8415"	"xgboost_preProcess8_1336"	"xgboost_preProcess8_4774"	"kNN_preProcess8_1802"	"kNN_preProcess8_1430"	"kNN_preProcess8_8415"	"kNN_preProcess8_1336"	"svm_preProcess8_1802"	"svm_preProcess8_1430"	"svm_preProcess8_8415"	"svm_preProcess8_1336"	"Party"
1	0.375928670167923	0.34781277179718	0.465623706579208	0.320972293615341	0.391901224851608	0	0	0	0	0	0	0	0	"Democrat"
4	0.488279581069946	0.440641641616821	0.37611973285675	0.411812275648117	0.443179696798325	0	0	0	0	0	0	0	0	"Democrat"
5	0.790477514266968	0.804215490818024	0.711514890193939	0.781083881855011	0.742611765861511	1	1	1	1	1	1	1	1	"Republican"
8	0.367535799741745	0.412697583436966	0.465305536985397	0.424873441457748	0.354323536157608	0	0	0	0	0	0	0	0	"Democrat"
9	0.347898006439209	0.421783864498138	0.412937849760056	0.360580861568451	0.428471624851227	0	0	0	0	0	0	0	0	"Republican"
10	0.512885630130768	0.439178496599197	0.439984917640686	0.468225866556168	0.481104761362076	0	0	0	0	0	0	0	0	"Democrat"
11	0.212224841117859	0.152979820966721	0.212204530835152	0.181462675333023	0.218390613794327	0	0	0	0	0	0	0	0	"Democrat"
12	0.87811267375946	0.806150436401367	0.767258822917938	0.853994846343994	0.855468690395355	1	1	1	1	1	1	1	1	"Republican"
13	0.564936697483063	0.487848073244095	0.53728199005127	0.556682705879211	0.426324456930161	1	1	1	1	1	1	1	1	"Republican"
15	0.729047834873199	0.642915844917297	0.706935226917267	0.70531839132309	0.745974957942963	1	1	1	1	1	1	1	1	"Republican"
16	0.500586271286011	0.471268832683563	0.500708818435669	0.467948824167252	0.538434267044067	1	1	1	1	0	0	0	0	"Republican"
17	0.597248733043671	0.583539366722107	0.488894701004028	0.545971393585205	0.46713799238205	1	1	1	1	1	1	1	1	"Republican"
18	0.426719784736633	0.273029506206512	0.450043529272079	0.439507991075516	0.378651857376099	1	1	1	1	0	0	0	0	"Democrat"
19	0.424837827682495	0.517112553119659	0.448722273111343	0.433384597301483	0.524338066577911	0	0	0	0	0	0	0	0	"Republican"
20	0.539718210697174	0.410946398973465	0.401499360799789	0.457407474517822	0.490350067615509	1	1	1	1	1	1	1	1	"Republican"
21	0.706746637821198	0.790009021759033	0.742621898651123	0.755421340465546	0.712448060512543	1	1	1	1	1	1	1	1	"Republican"
22	0.158516705036163	0.166615873575211	0.177668139338493	0.2005735039711	0.13804580271244	0	0	0	0	0	0	0	0	"Democrat"
23	0.133864909410477	0.151846945285797	0.214860469102859	0.185205087065697	0.142879873514175	0	0	0	0	0	0	0	0	"Democrat"
24	0.124113544821739	0.135362952947617	0.154889136552811	0.171675309538841	0.191186651587486	0	0	0	0	0	0	0	0	"Democrat"
25	0.468018084764481	0.471921145915985	0.552216708660126	0.499764502048492	0.424912720918655	1	1	1	0	0	0	0	0	"Democrat"
26	0.447228044271469	0.286623239517212	0.287433981895447	0.321572124958038	0.364061266183853	0	0	0	0	0	0	0	0	"Republican"
27	0.144410729408264	0.154234692454338	0.192323341965675	0.176156714558601	0.159029483795166	0	0	0	0	0	0	0	0	"Democrat"
30	0.468269884586334	0.622465133666992	0.599667489528656	0.606302976608276	0.527610182762146	1	1	1	1	1	1	1	1	"Democrat"
31	0.460775017738342	0.498070329427719	0.455017298460007	0.488123208284378	0.499559313058853	0	0	0	0	0	0	0	0	"Democrat"
32	0.328880697488785	0.369533807039261	0.330917865037918	0.392956644296646	0.278182774782181	0	0	0	0	0	0	0	0	"Republican"
33	0.186019524931908	0.153456255793571	0.113531693816185	0.158921718597412	0.120262391865253	0	0	0	0	0	0	0	0	"Democrat"
34	0.0913310423493385	0.0875680297613144	0.0926709175109863	0.154244661331177	0.0978603661060333	0	0	0	0	0	0	0	0	"Democrat"
35	0.27127930521965	0.167463481426239	0.259788393974304	0.241354778409004	0.327962636947632	0	0	0	0	0	0	0	0	"Democrat"
36	0.46706235408783	0.428453207015991	0.400050133466721	0.409040778875351	0.411555767059326	1	1	1	1	1	1	0	0	"Democrat"
38	0.383301198482513	0.412588149309158	0.412985444068909	0.423876017332077	0.43723401427269	0	0	0	0	0	0	0	0	"Democrat"
39	0.222519665956497	0.240346193313599	0.270095974206924	0.209763690829277	0.249081715941429	0	0	0	0	0	0	0	0	"Democrat"
40	0.406800627708435	0.391155630350113	0.397047996520996	0.453407973051071	0.274084508419037	0	0	0	0	0	0	0	0	"Democrat"
41	0.64998060464859	0.603456974029541	0.518522083759308	0.577676653862	0.589112937450409	1	1	1	1	1	1	1	1	"Republican"
42	0.837954580783844	0.663854360580444	0.743318974971771	0.747739613056183	0.702751457691193	1	1	1	1	1	1	1	1	"Democrat"
43	0.140229746699333	0.130016401410103	0.147226735949516	0.117565616965294	0.149762153625488	0	0	0	0	0	0	0	0	"Democrat"
45	0.650211036205292	0.63586699962616	0.589364171028137	0.532482326030731	0.733923256397247	1	1	1	1	1	1	1	1	"Democrat"
46	0.20356684923172	0.202143087983131	0.162917852401733	0.153262227773666	0.236445367336273	0	0	0	0	0	0	0	0	"Democrat"
47	0.755684971809387	0.679258644580841	0.746968567371368	0.726983785629272	0.772108674049377	1	1	1	1	1	1	1	1	"Republican"
48	0.580449640750885	0.592629969120026	0.605397641658783	0.541836202144623	0.619897603988647	1	1	1	1	1	1	1	1	"Democrat"
49	0.509018540382385	0.532471776008606	0.56988513469696	0.572039246559143	0.536756575107574	0	0	0	0	0	0	1	1	"Republican"
50	0.523664474487305	0.555800914764404	0.520976006984711	0.512161374092102	0.531985342502594	0	0	0	0	1	1	0	1	"Republican"
51	0.447760850191116	0.5227991938591	0.51484888792038	0.516916275024414	0.489107251167297	1	1	1	1	1	1	1	1	"Democrat"
52	0.483107000589371	0.537922263145447	0.529289782047272	0.498202919960022	0.543561637401581	0	0	0	0	1	0	1	0	"Republican"
53	0.445163905620575	0.408744901418686	0.517664134502411	0.471369355916977	0.488284081220627	0	0	0	0	0	0	0	0	"Republican"
54	0.49504166841507	0.386501342058182	0.432527720928192	0.309381932020187	0.466599076986313	0	0	0	0	0	0	0	0	"Democrat"
55	0.401834905147552	0.395775467157364	0.453454256057739	0.506385326385498	0.404953002929688	0	0	0	0	0	0	0	0	"Democrat"
57	0.69724029302597	0.676114678382874	0.721897125244141	0.722118854522705	0.693427443504333	1	1	1	1	1	1	1	1	"Republican"
58	0.229695290327072	0.250388592481613	0.200651332736015	0.176175639033318	0.288340479135513	0	0	0	0	0	0	0	0	"Democrat"
59	0.618917286396027	0.61739981174469	0.662781417369843	0.694655954837799	0.641413331031799	1	1	1	1	1	1	1	1	"Republican"
60	0.720138907432556	0.722889006137848	0.717293322086334	0.625133514404297	0.690530180931091	1	1	1	1	1	1	1	1	"Republican"
61	0.380317687988281	0.416386932134628	0.350801557302475	0.33093473315239	0.375465482473373	0	0	0	0	0	0	0	0	"Democrat"
63	0.25010946393013	0.337010383605957	0.322955250740051	0.260462790727615	0.342499017715454	0	0	0	0	0	0	0	0	"Republican"
64	0.809453427791595	0.795802772045135	0.761662006378174	0.792998969554901	0.704985797405243	1	1	1	1	1	1	1	1	"Democrat"
65	0.282650768756866	0.158860638737679	0.206038355827332	0.162054359912872	0.288735777139664	0	0	0	0	0	0	0	0	"Democrat"
66	0.802235007286072	0.818363904953003	0.805311739444733	0.773012578487396	0.849028170108795	1	1	1	1	1	1	1	1	"Democrat"
67	0.737685441970825	0.739697337150574	0.691997945308685	0.767333567142487	0.763747155666351	1	1	1	1	1	1	1	1	"Republican"
69	0.529420256614685	0.60359662771225	0.523087680339813	0.505360960960388	0.582575559616089	1	1	1	1	1	1	1	1	"Republican"
70	0.801106572151184	0.774512887001038	0.791058123111725	0.782540738582611	0.698828399181366	1	1	1	1	1	1	1	1	"Republican"
71	0.602796614170074	0.518799960613251	0.534831762313843	0.499822437763214	0.559304356575012	1	1	1	1	1	0	0	0	"Republican"
73	0.418146699666977	0.390743792057037	0.420429259538651	0.49091711640358	0.384102702140808	0	0	0	0	0	0	0	0	"Democrat"
75	0.339635699987411	0.334892481565475	0.37491562962532	0.357165604829788	0.400048077106476	0	0	0	0	0	0	0	0	"Democrat"
76	0.448894292116165	0.496535569429398	0.48854985833168	0.477293342351913	0.478915333747864	1	1	1	1	1	1	1	1	"Republican"
77	0.449842602014542	0.35933056473732	0.384838581085205	0.469156444072723	0.312527596950531	0	0	0	0	0	0	0	0	"Democrat"
78	0.839039921760559	0.738466024398804	0.728540778160095	0.780006051063538	0.713460624217987	1	1	1	1	1	1	1	1	"Democrat"
79	0.647571623325348	0.656248092651367	0.554272890090942	0.547649264335632	0.575769782066345	1	1	1	1	1	1	1	1	"Republican"
82	0.532062470912933	0.564780175685883	0.583914279937744	0.523706197738647	0.514580130577087	1	1	1	1	1	1	1	1	"Democrat"
83	0.51555997133255	0.501057207584381	0.477598279714584	0.512705624103546	0.560544192790985	0	0	0	0	0	0	0	0	"Democrat"
