"USER_ID"	"YOB"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Party"	"Q124742"	"Q124122"	"Q123464"	"Q123621"	"Q122769"	"Q122770"	"Q122771"	"Q122120"	"Q121699"	"Q121700"	"Q120978"	"Q121011"	"Q120379"	"Q120650"	"Q120472"	"Q120194"	"Q120012"	"Q120014"	"Q119334"	"Q119851"	"Q119650"	"Q118892"	"Q118117"	"Q118232"	"Q118233"	"Q118237"	"Q117186"	"Q117193"	"Q116797"	"Q116881"	"Q116953"	"Q116601"	"Q116441"	"Q116448"	"Q116197"	"Q115602"	"Q115777"	"Q115610"	"Q115611"	"Q115899"	"Q115390"	"Q114961"	"Q114748"	"Q115195"	"Q114517"	"Q114386"	"Q113992"	"Q114152"	"Q113583"	"Q113584"	"Q113181"	"Q112478"	"Q112512"	"Q112270"	"Q111848"	"Q111580"	"Q111220"	"Q110740"	"Q109367"	"Q108950"	"Q109244"	"Q108855"	"Q108617"	"Q108856"	"Q108754"	"Q108342"	"Q108343"	"Q107869"	"Q107491"	"Q106993"	"Q106997"	"Q106272"	"Q106388"	"Q106389"	"Q106042"	"Q105840"	"Q105655"	"Q104996"	"Q103293"	"Q102906"	"Q102674"	"Q102687"	"Q102289"	"Q102089"	"Q101162"	"Q101163"	"Q101596"	"Q100689"	"Q100680"	"Q100562"	"Q99982"	"Q100010"	"Q99716"	"Q99581"	"Q99480"	"Q98869"	"Q98578"	"Q98059"	"Q98078"	"Q98197"	"Q96024"
1	1938	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"Bachelor's Degree"	"Democrat"	"No"	"dnr"	"No"	"No"	"No"	"Yes"	"Public"	"No"	"Yes"	"No"	"dnr"	"No"	"No"	"Yes"	"dnr"	"Try first"	"No"	"No"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"Idealist"	"No"	"No"	"dnr"	"dnr"	"Yes"	"Happy"	"Yes"	"Yes"	"No"	"No"	"P.M."	"Yes"	"Start"	"Yes"	"No"	"Circumstances"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"dnr"	"Yes"	"Yes"	"Talk"	"Technology"	"No"	"No"	"Yes"	"dnr"	"No"	"Demanding"	"No"	"dnr"	"No"	"Cautious"	"No"	"Yes!"	"No"	"Space"	"No"	"In-person"	"dnr"	"Yes"	"No"	"Yes"	"Yay people!"	"Yes"	"No"	"Yes"	"Yes"	"dnr"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	"No"	"Own"	"Optimist"	"dnr"	"Yes"	"Yes"	"No"	"No"	"Nope"	"Yes"	"No"	"No"	"dnr"	"No"	"dnr"	"Only-child"	"No"	"No"	"Yes"
4	1970	"Female"	"over $150,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"Democrat"	"dnr"	"Yes"	"No"	"No"	"No"	"Yes"	"Public"	"No"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"Science"	"Study first"	"Yes"	"Yes"	"No"	"No"	"Receiving"	"No"	"No"	"Pragmatist"	"No"	"No"	"Cool headed"	"Standard hours"	"No"	"Happy"	"Yes"	"Yes"	"Yes"	"No"	"A.M."	"No"	"End"	"Yes"	"No"	"Me"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Mysterious"	"No"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Mac"	"Yes"	"Cautious"	"No"	"Umm..."	"No"	"Space"	"Yes"	"In-person"	"No"	"Yes"	"Yes"	"No"	"Yay people!"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"Only-child"	"Yes"	"No"	"No"
5	1997	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"Republican"	"dnr"	"Yes"	"Yes"	"No"	"dnr"	"Yes"	"Private"	"No"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Science"	"Study first"	"dnr"	"Yes"	"No"	"Yes"	"Receiving"	"No"	"Yes"	"Pragmatist"	"No"	"Yes"	"Cool headed"	"Odd hours"	"No"	"Right"	"Yes"	"No"	"No"	"Yes"	"A.M."	"Yes"	"Start"	"Yes"	"Yes"	"Circumstances"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Mysterious"	"No"	"No"	"Tunes"	"Technology"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Supportive"	"No"	"PC"	"No"	"Cautious"	"No"	"Umm..."	"No"	"Space"	"No"	"In-person"	"No"	"No"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"No"	"No"	"No"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Own"	"Pessimist"	"Mom"	"No"	"No"	"No"	"No"	"Nope"	"Yes"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"No"	"Yes"	"No"
8	1983	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"Democrat"	"No"	"Yes"	"No"	"Yes"	"No"	"No"	"Public"	"No"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"Science"	"Try first"	"No"	"Yes"	"Yes"	"No"	"Giving"	"Yes"	"No"	"Idealist"	"No"	"No"	"Cool headed"	"Standard hours"	"No"	"Happy"	"Yes"	"Yes"	"No"	"No"	"A.M."	"Yes"	"Start"	"Yes"	"No"	"Circumstances"	"Yes"	"No"	"No"	"Yes"	"No"	"TMI"	"No"	"No"	"Talk"	"People"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Supportive"	"No"	"Mac"	"Yes"	"Risk-friendly"	"No"	"Umm..."	"No"	"Socialize"	"Yes"	"Online"	"No"	"Yes"	"No"	"Yes"	"Grrr people"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"	"Own"	"Optimist"	"Mom"	"No"	"No"	"No"	"Yes"	"Check!"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"
9	1984	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Republican"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	"Public"	"No"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Art"	"Try first"	"Yes"	"No"	"No"	"No"	"Giving"	"No"	"No"	"Idealist"	"Yes"	"Yes"	"Hot headed"	"Standard hours"	"No"	"Happy"	"Yes"	"Yes"	"No"	"Yes"	"P.M."	"No"	"End"	"No"	"No"	"Me"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"TMI"	"Yes"	"No"	"Tunes"	"People"	"No"	"No"	"Yes"	"No"	"No"	"Demanding"	"Yes"	"PC"	"Yes"	"Cautious"	"No"	"Yes!"	"No"	"Socialize"	"No"	"Online"	"No"	"No"	"Yes"	"Yes"	"Yay people!"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"No"	"No"	"Own"	"Optimist"	"Mom"	"No"	"Yes"	"Yes"	"Yes"	"Nope"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"
10	1997	"Female"	"over $150,000"	"Single (no kids)"	"Current K-12"	"Democrat"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Yes"	"Public"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Science"	"Try first"	"Yes"	"Yes"	"No"	"Yes"	"Receiving"	"No"	"No"	"Pragmatist"	"No"	"No"	"dnr"	"Standard hours"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Supportive"	"No"	"PC"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"In-person"	"No"	"No"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
11	1983	"Male"	"$25,001 - $50,000"	"Married (no kids)"	"Current Undergraduate"	"Democrat"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"No"	"No"	"Pragmatist"	"No"	"Yes"	"Cool headed"	"Odd hours"	"No"	"Happy"	"No"	"Yes"	"No"	"Yes"	"P.M."	"Yes"	"End"	"Yes"	"No"	"Me"	"Yes"	"Yes"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Supportive"	"No"	"PC"	"Yes"	"Cautious"	"Yes"	"Umm..."	"No"	"dnr"	"No"	"Online"	"Yes"	"dnr"	"Yes"	"No"	"Grrr people"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"dnr"	"Own"	"Pessimist"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"
12	1996	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"Republican"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"Private"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"Science"	"Try first"	"No"	"Yes"	"No"	"No"	"Receiving"	"Yes"	"No"	"Idealist"	"No"	"Yes"	"Cool headed"	"Standard hours"	"No"	"Right"	"No"	"No"	"No"	"No"	"P.M."	"Yes"	"Start"	"Yes"	"Yes"	"Circumstances"	"No"	"No"	"Yes"	"No"	"No"	"Mysterious"	"No"	"No"	"Tunes"	"People"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Demanding"	"No"	"PC"	"No"	"Cautious"	"No"	"Yes!"	"No"	"Socialize"	"No"	"In-person"	"No"	"No"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Own"	"Pessimist"	"Mom"	"Yes"	"Yes"	"No"	"Yes"	"Nope"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"
13	1983	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"Current K-12"	"Republican"	"No"	"dnr"	"Yes"	"No"	"dnr"	"Yes"	"Public"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"dnr"	"Science"	"Study first"	"No"	"No"	"dnr"	"No"	"Receiving"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"Cool headed"	"dnr"	"No"	"Happy"	"Yes"	"No"	"No"	"No"	"P.M."	"Yes"	"Start"	"Yes"	"No"	"Me"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Tunes"	"Technology"	"dnr"	"dnr"	"Yes"	"No"	"Yes"	"Demanding"	"No"	"PC"	"No"	"dnr"	"No"	"dnr"	"No"	"Space"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"Yes"	"Grrr people"	"dnr"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"No"	"dnr"	"Yes"	"No"	"dnr"	"Optimist"	"Dad"	"No"	"No"	"Yes"	"No"	"Nope"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"dnr"	"dnr"	"Yes"
15	1981	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Bachelor's Degree"	"Republican"	"No"	"No"	"No"	"No"	"Yes"	"No"	"Public"	"No"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Art"	"Try first"	"Yes"	"No"	"No"	"Yes"	"Giving"	"No"	"Yes"	"Idealist"	"Yes"	"Yes"	"Cool headed"	"Standard hours"	"Yes"	"Happy"	"No"	"Yes"	"Yes"	"Yes"	"P.M."	"Yes"	"Start"	"Yes"	"Yes"	"Me"	"Yes"	"No"	"No"	"No"	"No"	"TMI"	"No"	"Yes"	"Tunes"	"Technology"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Demanding"	"Yes"	"PC"	"Yes"	"Cautious"	"No"	"Yes!"	"No"	"Socialize"	"No"	"Online"	"Yes"	"Yes"	"Yes"	"Yes"	"Yay people!"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Own"	"Optimist"	"Mom"	"No"	"Yes"	"Yes"	"Yes"	"Check!"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"No"
