"USER_ID"	"Party"	"Age_group"	"NumSurveyAns"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q119851"	"Q121699"	"Q110740"	"Q106042"	"Q101596"	"Q102089"	"Q100680"	"Q115195"	"Q122771"	"Q108855"	"Q112478"	"Q107869"	"Q120014"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q106388"	"Q120012"	"Q118232"	"Q100689"	"Q113583"	"Q106389"	"Q98078"	"Q124122"	"Q118237"	"Q96024"	"Q116953"
1	"Democrat"	"(64,90]"	86	"Male"	"dnr"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Happy"	"No"	"dnr"	"Yes"	"Circumstances"	"Yes"	"Yes"	"dnr"	"Yes"	"Yes"	"Own"	"No"	"Yes"	"Public"	"Yes!"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"No"	"Idealist"	"Yes"	"Talk"	"Yes"	"No"	"dnr"	"No"	"Yes"	"Yes"
4	"Democrat"	"(44,64]"	75	"Female"	"over $150,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"dnr"	"No"	"dnr"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"Public"	"Umm..."	"dnr"	"Yes"	"Yes"	"dnr"	"No"	"In-person"	"Yes"	"Yes"	"Yes"	"Pragmatist"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"
5	"Republican"	"(18,44]"	98	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"No"	"PC"	"No"	"No"	"Own"	"No"	"Yes"	"Private"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"No"	"In-person"	"No"	"No"	"dnr"	"Pragmatist"	"No"	"Tunes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"
8	"Democrat"	"(18,44]"	101	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"No"	"Circumstances"	"No"	"Yes"	"Mac"	"Yes"	"No"	"Own"	"No"	"Yes"	"Public"	"Umm..."	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"No"	"No"	"Idealist"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"
9	"Republican"	"(18,44]"	101	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"No"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"Yes"	"Public"	"Yes!"	"No"	"No"	"No"	"No"	"No"	"Online"	"No"	"No"	"Yes"	"Idealist"	"Yes"	"Tunes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"
10	"Democrat"	"(18,44]"	44	"Female"	"over $150,000"	"Single (no kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"Science"	"Yes"	"dnr"	"Yes"	"No"	"PC"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Public"	"dnr"	"dnr"	"No"	"Yes"	"dnr"	"No"	"In-person"	"dnr"	"No"	"Yes"	"Pragmatist"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"dnr"
11	"Democrat"	"(18,44]"	60	"Male"	"$25,001 - $50,000"	"Married (no kids)"	"Current Undergraduate"	"Yes"	"No"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Happy"	"dnr"	"dnr"	"Yes"	"Me"	"dnr"	"dnr"	"PC"	"dnr"	"dnr"	"Own"	"Yes"	"Yes"	"dnr"	"Umm..."	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Online"	"Yes"	"No"	"dnr"	"Pragmatist"	"Yes"	"dnr"	"Yes"	"No"	"dnr"	"Yes"	"Yes"	"No"
12	"Republican"	"(18,44]"	101	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"No"	"Yes"	"Own"	"No"	"No"	"Private"	"Yes!"	"No"	"No"	"Yes"	"No"	"Yes"	"In-person"	"No"	"No"	"No"	"Idealist"	"Yes"	"Tunes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"No"
13	"Republican"	"(18,44]"	77	"Male"	"dnr"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"dnr"	"Me"	"No"	"No"	"PC"	"No"	"No"	"dnr"	"Yes"	"dnr"	"Public"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"dnr"	"Yes"	"No"	"No"	"dnr"	"No"	"Tunes"	"Yes"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"
15	"Republican"	"(18,44]"	101	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"No"	"Public"	"Yes!"	"No"	"Yes"	"No"	"No"	"No"	"Online"	"Yes"	"No"	"Yes"	"Idealist"	"Yes"	"Tunes"	"No"	"Yes"	"No"	"Yes"	"No"	"No"
16	"Republican"	"(44,64]"	30	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"No"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"
17	"Republican"	"(18,44]"	101	"Female"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"	"No"	"Yes"	"Rent"	"Yes"	"Yes"	"Public"	"Yes!"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"No"	"No"	"Idealist"	"No"	"Tunes"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"
18	"Democrat"	"(44,64]"	101	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"	"No"	"Yes"	"Rent"	"Yes"	"Yes"	"Public"	"Yes!"	"No"	"Yes"	"No"	"No"	"Yes"	"Online"	"Yes"	"No"	"No"	"Pragmatist"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"
19	"Republican"	"(18,44]"	100	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"No"	"dnr"	"Own"	"No"	"Yes"	"Public"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"No"	"In-person"	"Yes"	"No"	"Yes"	"Idealist"	"No"	"Tunes"	"Yes"	"No"	"No"	"No"	"Yes"	"No"
20	"Republican"	"(44,64]"	84	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"dnr"	"Mac"	"No"	"No"	"Own"	"No"	"No"	"dnr"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"No"	"No"	"Idealist"	"Yes"	"Talk"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Yes"
21	"Republican"	"(18,44]"	101	"Male"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Rent"	"Yes"	"Yes"	"Private"	"Yes!"	"No"	"Yes"	"Yes"	"No"	"No"	"In-person"	"No"	"Yes"	"No"	"Pragmatist"	"Yes"	"Talk"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"
22	"Democrat"	"(18,44]"	34	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Mom"	"dnr"	"dnr"	"dnr"	"dnr"	"Art"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"No"	"dnr"	"In-person"	"Yes"	"No"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"
