"USER_ID"	"Party"	"Age_group"	"NumSurveyAnsInterest"	"IsLiberal"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"
1	"Democrat"	"(64,90]"	13	"No"	"Male"	"dnr"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Happy"	"No"	"dnr"	"Yes"	"Circumstances"	"Yes"	"Yes"	"dnr"	"Own"	"Yes"
4	"Democrat"	"(44,64]"	15	"Yes"	"Female"	"over $150,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"dnr"	"No"	"dnr"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"dnr"	"Yes"
5	"Republican"	"(18,44]"	18	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"	"Own"	"No"
8	"Democrat"	"(18,44]"	18	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"
9	"Republican"	"(18,44]"	18	"Yes"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"
10	"Democrat"	"(18,44]"	8	"unknown"	"Female"	"over $150,000"	"Single (no kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"	"dnr"	"Yes"
11	"Democrat"	"(18,44]"	10	"Yes"	"Male"	"$25,001 - $50,000"	"Married (no kids)"	"Current Undergraduate"	"Yes"	"No"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Happy"	"dnr"	"dnr"	"Yes"	"Me"	"dnr"	"dnr"	"PC"	"Own"	"dnr"
12	"Republican"	"(18,44]"	18	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"
13	"Republican"	"(18,44]"	14	"No"	"Male"	"dnr"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"dnr"	"Me"	"No"	"No"	"PC"	"dnr"	"No"
15	"Republican"	"(18,44]"	18	"unknown"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"
