"USER_ID"	"Party"	"Age_group"	"NumSurveyAnsInterest"	"IsLiberal"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"	"Q115195"	"Q100680"	"Q101596"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q107869"	"Q122771"	"Q118232"	"Q112478"	"Q120012"	"Q113583"	"Q120014"	"Q100689"	"Q124122"	"Q98078"	"Q96024"	"Q108855"	"Q121700"	"Q106388"	"Q116953"	"Q111848"	"Q116448"	"Q120194"	"Q121011"	"Q106389"
1	"Democrat"	"(64,90]"	39	"Yes"	"Male"	"dnr"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Happy"	"No"	"dnr"	"Yes"	"Circumstances"	"Yes"	"Yes"	"dnr"	"Own"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Idealist"	"No"	"No"	"Talk"	"No"	"Yes"	"dnr"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"No"	"No"	"Try first"	"No"	"Yes"
4	"Democrat"	"(44,64]"	35	"unknown"	"Female"	"over $150,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"dnr"	"No"	"dnr"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"No"	"Umm..."	"No"	"Yes"	"Yes"	"dnr"	"No"	"Study first"	"No"	"Yes"
5	"Republican"	"(18,44]"	44	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"No"	"No"	"Private"	"Pragmatist"	"Yes"	"dnr"	"Tunes"	"Yes"	"No"	"Yes"	"No"	"No"	"Umm..."	"No"	"No"	"Yes"	"No"	"Yes"	"Study first"	"No"	"No"
8	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"No"	"Yes"
9	"Republican"	"(18,44]"	45	"Yes"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Online"	"No"	"No"	"Public"	"Idealist"	"No"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"No"	"Yes"	"Try first"	"Yes"	"Yes"
10	"Democrat"	"(18,44]"	21	"unknown"	"Female"	"over $150,000"	"Single (no kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"In-person"	"dnr"	"No"	"Public"	"Pragmatist"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"Yes"	"dnr"	"Try first"	"No"	"Yes"
11	"Democrat"	"(18,44]"	24	"Yes"	"Male"	"$25,001 - $50,000"	"Married (no kids)"	"Current Undergraduate"	"Yes"	"No"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Happy"	"dnr"	"dnr"	"Yes"	"Me"	"dnr"	"dnr"	"PC"	"Own"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"No"	"Online"	"Yes"	"dnr"	"dnr"	"Pragmatist"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"Umm..."	"dnr"	"No"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"
12	"Republican"	"(18,44]"	45	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"In-person"	"No"	"No"	"Private"	"Idealist"	"No"	"No"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"No"	"Yes"	"No"	"Try first"	"No"	"Yes"
13	"Republican"	"(18,44]"	32	"unknown"	"Male"	"dnr"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"dnr"	"Me"	"No"	"No"	"PC"	"dnr"	"No"	"dnr"	"Yes"	"No"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"Public"	"dnr"	"dnr"	"No"	"Tunes"	"No"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"No"	"No"	"Yes"	"Yes"	"No"	"Study first"	"No"	"Yes"
15	"Republican"	"(18,44]"	45	"No"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"No"	"Yes"	"No"	"No"	"No"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"No"	"Yes"	"Tunes"	"No"	"Yes"	"No"	"Yes"	"No"	"Yes!"	"No"	"No"	"No"	"No"	"Yes"	"Try first"	"Yes"	"No"
