"USER_ID"	"Party"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"IsLiberal"	"Age"	"NumSurveyAns"	"NumDemogrAns"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"	"Q115195"	"Q100680"	"Q101596"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q107869"	"Q122771"	"Q118232"	"Q112478"	"Q120012"	"Q113583"	"Q120014"	"Q100689"	"Q124122"	"Q98078"	"Q96024"	"Q108855"	"Q121700"	"Q106388"	"Q116953"	"Q111848"	"Q116448"	"Q120194"	"Q121011"	"Q106389"
1	"Democrat"	"Male"	"over $150,000"	"Married (w/kids)"	"dropout"	"Yes"	75	86	3	"No"	"No"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Happy"	"No"	"dnr"	"Yes"	"Circumstances"	"Yes"	"Yes"	"dnr"	"Own"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Idealist"	"No"	"No"	"Talk"	"No"	"Yes"	"dnr"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"No"	"No"	"Try first"	"No"	"Yes"
4	"Democrat"	"Female"	"over $150,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"unknown"	43	75	5	"No"	"No"	"No"	"dnr"	"No"	"dnr"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"No"	"Umm..."	"No"	"Yes"	"Yes"	"dnr"	"No"	"Study first"	"No"	"Yes"
5	"Republican"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	16	98	5	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"No"	"No"	"Private"	"Pragmatist"	"Yes"	"dnr"	"Tunes"	"Yes"	"No"	"Yes"	"No"	"No"	"Umm..."	"No"	"No"	"Yes"	"No"	"Yes"	"Study first"	"No"	"No"
8	"Democrat"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"Yes"	30	101	5	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"No"	"Yes"
9	"Republican"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Yes"	29	101	5	"No"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Online"	"No"	"No"	"Public"	"Idealist"	"No"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"No"	"Yes"	"Try first"	"Yes"	"Yes"
10	"Democrat"	"Female"	"over $150,000"	"Single (no kids)"	"Current K-12"	"unknown"	16	44	5	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"In-person"	"dnr"	"No"	"Public"	"Pragmatist"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"Yes"	"dnr"	"Try first"	"No"	"Yes"
11	"Democrat"	"Male"	"$25,001 - $50,000"	"Married (no kids)"	"Current Undergraduate"	"Yes"	30	60	5	"Yes"	"No"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Happy"	"dnr"	"dnr"	"Yes"	"Me"	"dnr"	"dnr"	"PC"	"Own"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"No"	"Online"	"Yes"	"dnr"	"dnr"	"Pragmatist"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"Umm..."	"dnr"	"No"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"
12	"Republican"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	17	101	5	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"In-person"	"No"	"No"	"Private"	"Idealist"	"No"	"No"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"No"	"Yes"	"No"	"Try first"	"No"	"Yes"
13	"Republican"	"Male"	"under $25,000"	"Single (no kids)"	"Current K-12"	"unknown"	16	77	3	"No"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"dnr"	"Me"	"No"	"No"	"PC"	"dnr"	"No"	"dnr"	"Yes"	"No"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"Public"	"dnr"	"dnr"	"No"	"Tunes"	"No"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"No"	"No"	"Yes"	"Yes"	"No"	"Study first"	"No"	"Yes"
15	"Republican"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"dropout"	"No"	32	101	4	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"No"	"Yes"	"No"	"No"	"No"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"No"	"Yes"	"Tunes"	"No"	"Yes"	"No"	"Yes"	"No"	"Yes!"	"No"	"No"	"No"	"No"	"Yes"	"Try first"	"Yes"	"No"
16	"Republican"	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"unknown"	42	30	5	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"
17	"Republican"	"Female"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"No"	36	101	5	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Rent"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"Yes"	"No"
